ID,Horizon,Clay,Sand,Silt
t5-p1-3,Bt2,30.64,38.4,30.96
t5-p1-4,2Bt3,44.52,30.9,24.58
t5-p2-1,Ap,25.12,9.7,65.18
t5-p2-2,Bt1,29.44,42.2,28.36
t5-p2-3,2Cr,23.12,51.35,25.53
t5-p3-1,Ap,25.88,20,54.12
t5-p3-2,Bt,33.64,27.5,38.86
t5-p3-3,BC,26.76,27.5,45.74
t5-p4-1,Ap,26.84,15.05,58.11
t5-p4-2,Bt1,33.4,22.6,44
t5-p4-3,2Bt2,39.36,24.5,36.14
t5-p5-1,Ap,20.4,9.65,69.95
t5-p5-2,A,24.76,5.35,69.89
t5-p5-3,Bt1,30.6,4.55,64.85
t5-p5-4,Bt2,28.24,19.95,51.81
t5-p6-1,Ap,21.88,19.35,58.77
t5-p6-2,Bt1,32.12,19.9,47.98
t5-p6-3,2Bt2,36.8,17.15,46.05
t5-p7-1,Ap,23.68,22.4,53.92
t5-p7-2,AB,23.84,21.55,54.61
t5-p7-3,Bt2,27.64,34.8,37.56
t5-p7-4,2Bt3,30.72,44.7,24.58
t5-p8-1,Ap,22.6,34.65,42.75
t5-p8-2,Bt,23.96,43.35,32.69
t5-p9-1,Ap,20.72,26.9,52.38
t5-p9-2,Bt,24.36,25.65,49.99
t5-p10-1,Ap,23.2,19.3,57.5
t5-p10-2,AB,24.32,15.65,60.03
t5-p10-3,Bw,26.6,26,47.4
t5-p11-1,Ap,24.32,9.95,65.73
t5-p11-2,Bt1,28.12,4.5,67.38
t5-p11-3,Bt2,27.44,15.75,56.81
t5-p11-4,2Bt3,47.12,35.1,17.78
t5-p12-1,Ap,26.8,11.6,61.6
t5-p12-2,AB,25.68,4.9,69.42
t5-p12-3,Bt1,28.56,4.5,66.94
t5-p12-4,Bt2,30.88,7.5,61.62
t5-p12-5,Bt3,35.52,3.3,61.18
t5-p12-6,BC,22.96,29.7,47.34
t5-p12-7,C,29.52,9.5,60.98
t5-p13-1,Ap,24.24,6.9,68.86
t5-p13-2,AB,25.84,6,68.16
t5-p13-3,Bt2,30.56,3.7,65.74
t5-p13-4,Bt3,34,2.8,63.2
t5-p13-5,BC,27.68,23,49.32
t5-p13-6,C,32,6.2,61.8
t6-p1-1,Ap,27.52,1.8,70.68
